"item_A","item_B","item_C","lon","lat","start","end","overall_pos","overall_neg"
"CRI-Dadanyuie","SARI-Suyolo","PGA14011-13","0.809244","6.138946","2020-07-15 15:37:44","2020-12-24 11:21:49","B","A"
"CRI-Okumkum","PGN16021-39","SARI-Janlow","0.7827326","6.117717","2020-07-19 17:59:15","2020-12-15 11:18:33","A","C"
"CRI-Apomuden","SARI-Nan","SARI-Nyoriberi-gu","0.809491","6.138883","2020-07-15 14:39:30","2020-12-24 11:32:16","B","A"
"PG17362-N1","SARI-Nyumingre (Obare)","CRI-Okumkum","0.7801739","6.114534","2020-07-19 08:15:31","2020-12-15 11:09:57","B","C"
"SARI-Tiemeh","PG17265-N1","SARI-Suyolo","0.8094793","6.138879","2020-07-25 14:52:30","2020-12-24 11:25:16","B","C"
"PG17362-N1","CRI-Apomuden","CRI-Dadanyuie","0.7997978","6.114174","2020-07-19 12:01:51","2020-11-14 15:41:25","C","B"
"PGA14011-13","SARI-Janlow","SARI-Nan","0.8021771","6.124769","2020-07-31 14:59:41","2020-12-26 11:55:52","B","C"
"PGN16021-39","SARI-Diedi","PG17362-N1","0.7251267","6.36055","2020-07-21 13:34:56","2020-12-03 11:26:04","A","B"
"CRI-Apomuden","CRI-Okumkum","PG17265-N1","0.7827307","6.117716","2020-07-19 11:33:52","2020-12-15 11:14:59","B","C"
"SARI-Suyolo","SARI-Nyumingre (Obare)","PGA14011-13","0.7997974","6.124771","2020-07-31 15:05:55","2020-12-27 10:49:36","A","C"
"SARI-Janlow","SARI-Nyoriberi-gu","PGA14008-15","0.8089718","6.138988","2020-07-19 06:54:00","2020-12-24 09:47:50","B","C"
"SARI-Diedi","SARI-Suyolo","CRI-Dadanyuie","0.80069","6.125433","2020-07-31 15:11:32","2020-12-27 11:09:04","B","C"
"SARI-Nyoriberi-gu","PG17362-N1","SARI-Nan","0.8003926","6.118478","2020-07-31 14:37:46","2020-12-27 10:59:10","B","C"
"CRI-Okumkum","PGN16021-39","PGA14011-13","0.80069","6.125433","2020-07-31 15:09:16","2020-12-27 11:19:17","C","B"
"SARI-Tiemeh","PG17265-N1","SARI-Diedi","0.7054983","6.323992","2020-07-21 15:59:03","2020-11-23 16:59:20","A","C"
"SARI-Nan","CRI-Apomuden","SARI-Nyumingre (Obare)","0.80069","6.125433","2020-07-31 14:28:12","2020-12-27 11:12:59","A","B"
"CRI-Dadanyuie","PGA14008-15","SARI-Janlow","0.6996967","6.32769","2020-07-21 13:12:56","2020-11-26 13:57:21","C","A"
"SARI-Nyoriberi-gu","PGA14011-13","PG17362-N1","0.68278","6.341665","2020-07-21 13:37:48","2020-11-23 16:12:01","B","A"
"SARI-Nyumingre (Obare)","SARI-Janlow","PGN16021-39","0.7094283","6.318795","2020-07-22 16:28:55","2020-11-23 13:49:53","B","A"
"PGA14008-15","CRI-Okumkum","SARI-Tiemeh","0.7245633","6.327005","2020-07-21 17:37:26","2020-12-03 12:56:36","B","C"
"SARI-Suyolo","PG17265-N1","CRI-Apomuden","0.7190733","6.332753","2020-07-21 13:38:13","2020-12-03 13:28:20","C","B"
"SARI-Diedi","SARI-Nan","SARI-Janlow","0.68766","6.358265","2020-07-21 13:36:00","2020-12-03 10:28:09","C","A"
"PGA14008-15","CRI-Dadanyuie","SARI-Suyolo","0.9189059","6.158633","2020-07-17 18:47:24","2020-11-23 23:37:18","C","A"
"PG17362-N1","CRI-Okumkum","PG17265-N1","0.8200262","6.110832","2020-07-17 17:47:20","2020-11-23 22:43:26","B","A"
"PGN16021-39","SARI-Tiemeh","SARI-Nyumingre (Obare)","0.8845418","6.041352","2020-07-17 17:35:10","2020-11-23 22:25:08","C","A"
"SARI-Nyumingre (Obare)","PG17362-N1","CRI-Dadanyuie","0.9010408","6.198185","2020-07-20 16:55:15","2020-11-24 23:55:21","C","A"
"SARI-Tiemeh","PGA14011-13","CRI-Apomuden","0.9013389","6.200506","2020-07-20 16:57:33","2020-11-25 00:00:37","C","A"
"CRI-Dadanyuie","SARI-Janlow","SARI-Tiemeh","0.8845418","6.041352","2020-07-20 18:31:48","2020-11-24 00:29:20","B","C"
"PGA14011-13","PG17362-N1","SARI-Nan","0.9702685","6.066229","2020-07-16 12:59:44","2020-11-24 21:58:09","C","B"
"SARI-Nyoriberi-gu","PG17265-N1","PGA14008-15","0.9705671","6.065897","2020-07-16 13:37:57","2020-11-24 21:33:07","B","A"
"SARI-Tiemeh","CRI-Apomuden","PGN16021-39","0.9702685","6.066229","2020-07-16 13:20:44","2020-11-24 21:09:35","B","A"
"SARI-Nan","SARI-Nyumingre (Obare)","CRI-Dadanyuie","0.9705671","6.065897","2020-07-16 12:44:26","2020-11-24 21:04:04","A","C"
"CRI-Okumkum","PGN16021-39","SARI-Diedi","0.9774367","6.050666","2020-07-16 11:39:58","2020-11-24 20:27:03","A","C"
"SARI-Nyumingre (Obare)","SARI-Suyolo","SARI-Nyoriberi-gu","0.9774367","6.050666","2020-07-16 12:18:17","2020-11-24 19:55:22","C","A"
"SARI-Janlow","SARI-Diedi","PG17265-N1","0.889825","6.326815","2020-07-16 08:51:22","2020-11-11 09:22:36","A","B"
"SARI-Diedi","PGA14011-13","PG17362-N1","0.888675","6.32878","2020-07-16 09:17:30","2020-11-17 09:11:01","A","C"
"CRI-Dadanyuie","SARI-Nyoriberi-gu","CRI-Okumkum","0.8901","6.326777","2020-07-17 08:45:55","2020-11-16 11:16:22","B","C"
"SARI-Nyumingre (Obare)","CRI-Dadanyuie","PGA14008-15","0.7895467","6.355542","2020-07-16 15:47:38","2020-12-02 17:39:22","B","C"
"CRI-Apomuden","SARI-Diedi","SARI-Janlow","0.79315","6.357137","2020-07-16 15:10:50","2020-11-16 15:14:59","C","B"
"PGA14011-13","PG17265-N1","SARI-Nyumingre (Obare)","0.793525","6.35646","2020-07-16 15:02:22","2020-12-02 16:20:38","B","C"
"SARI-Diedi","CRI-Apomuden","PGA14011-13","0.88059","6.321328","2020-07-16 14:44:40","2020-11-18 10:32:33","B","C"
"SARI-Nan","SARI-Janlow","PGN16021-39","0.765458","6.407793","2020-07-16 08:49:46","2020-12-19 08:46:55","B","C"
"SARI-Tiemeh","CRI-Apomuden","CRI-Dadanyuie","0.8904717","6.336135","2020-07-16 12:18:15","2020-11-17 09:43:08","B","A"
"CRI-Okumkum","PGN16021-39","PG17265-N1","0.8902483","6.336933","2020-07-16 12:31:52","2020-11-17 10:00:29","A","B"
"PG17265-N1","SARI-Tiemeh","SARI-Nyumingre (Obare)","0.8866767","6.325035","2020-07-15 10:35:49","2020-11-17 08:26:21","A","C"
"SARI-Janlow","SARI-Nyoriberi-gu","SARI-Nan","0.8866467","6.325027","2020-07-15 09:36:27","2020-11-17 08:20:48","A","C"
"CRI-Apomuden","PGA14008-15","CRI-Okumkum","0.8866667","6.325122","2020-07-29 09:50:44","2020-11-17 08:14:17","C","B"
"SARI-Nyoriberi-gu","PG17362-N1","SARI-Diedi","0.76442","6.407661","2020-07-16 09:24:36","2020-12-19 08:54:04","C","A"
"PGA14008-15","PG17265-N1","PGA14011-13","0.756197","6.419218","2020-07-16 09:53:12","2020-12-02 08:42:52","B","C"
"SARI-Diedi","SARI-Nan","SARI-Suyolo","0.529775","6.633228","2020-07-14 10:45:21","2020-11-12 07:20:25","A","B"
"PG17362-N1","CRI-Apomuden","PGN16021-39","0.4597935","6.614133","2020-07-14 05:30:50","2020-11-11 07:22:41","B","C"
"PGA14011-13","PG17265-N1","SARI-Janlow","0.4428782","6.596083","2020-07-20 19:29:37","2020-11-24 18:29:28","B","A"
"SARI-Nan","SARI-Tiemeh","CRI-Dadanyuie","0.5356787","6.593904","2020-07-14 10:07:50","2020-11-13 09:34:40","B","A"
"SARI-Nyumingre (Obare)","CRI-Apomuden","SARI-Diedi","0.4304633","6.586847","2020-07-15 11:16:57","2020-11-11 16:36:14","B","C"
"CRI-Dadanyuie","PGN16021-39","PG17265-N1","0.4409714","6.600705","2020-07-15 08:11:57","2020-11-16 19:37:34","B","A"
"PGA14008-15","PGA14011-13","CRI-Apomuden","0.4736086","6.606573","2020-07-16 16:53:04","2020-11-11 09:17:25","B","A"
"SARI-Tiemeh","SARI-Suyolo","SARI-Nyoriberi-gu","0.5809867","6.734613","2020-07-14 08:49:33","2020-11-16 07:17:40","C","B"
